HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2023,NO,Norway,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2023,PL,Poland,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2023,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2023,RO,Romania,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2023,SE,Sweden,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2023,SI,Slovenia,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2023,SK,Slovakia,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,AT,Austria,6,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,BE,Belgium,7,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,BG,Bulgaria,158,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,CY,Cyprus,113,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,CZ,Czechia,32,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,DE,Germany,21,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,DK,Denmark,2,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,EE,Estonia,3,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,EL,Greece,1373,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,ES,Spain,25,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,FI,Finland,1,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,FR,France,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,HR,Croatia,242,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,HU,Hungary,169,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,IE,Ireland,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,IS,Iceland,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,IT,Italy,2252,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,LI,Liechtenstein,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,LT,Lithuania,99,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,LU,Luxembourg,1,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,LV,Latvia,39,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,MT,Malta,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,NL,Netherlands,10,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,NO,Norway,1,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,PL,Poland,295,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,PT,Portugal,43,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,RO,Romania,235,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,SE,Sweden,2,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,SI,Slovenia,13,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2023,SK,Slovakia,36,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,AT,Austria,8.45070422,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,BE,Belgium,4.69798657,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,BG,Bulgaria,86.33879781,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,CY,Cyprus,83.7037037,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,CZ,Czechia,35.16483516,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,DE,Germany,2.77410832,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,DK,Denmark,2.24719101,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,EE,Estonia,-,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,EL,Greece,88.12580231,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,ES,Spain,32.89473684,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,FI,Finland,3.03030303,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,FR,France,-,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,HR,Croatia,92.36641221,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,HU,Hungary,39.6713615,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,IE,Ireland,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,IS,Iceland,-,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,IT,Italy,73.57072852,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,LI,Liechtenstein,-,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,LT,Lithuania,82.5,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,LU,Luxembourg,-,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,LV,Latvia,50.64935064,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,MT,Malta,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,NL,Netherlands,4.71698113,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,NO,Norway,2.5,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,PL,Poland,68.12933025,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,PT,Portugal,28.28947368,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,RO,Romania,82.45614035,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,SE,Sweden,1.30718954,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,SI,Slovenia,25,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2023,SK,Slovakia,47.36842105,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,AT,Austria,65,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,BE,Belgium,128,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,BG,Bulgaria,25,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,CY,Cyprus,22,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,CZ,Czechia,59,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,DE,Germany,730,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,DK,Denmark,87,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,EE,Estonia,7,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,EL,Greece,185,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,ES,Spain,51,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,FI,Finland,32,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,FR,France,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,HR,Croatia,20,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,HU,Hungary,257,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,IE,Ireland,58,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,IS,Iceland,1,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,IT,Italy,808,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,LI,Liechtenstein,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,LT,Lithuania,21,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,LU,Luxembourg,6,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,LV,Latvia,38,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,MT,Malta,21,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,NL,Netherlands,202,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,NO,Norway,39,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,PL,Poland,138,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,PT,Portugal,109,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,RO,Romania,50,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,SE,Sweden,151,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,SI,Slovenia,39,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2023,SK,Slovakia,40,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,AT,Austria,71,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,BE,Belgium,149,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,BG,Bulgaria,183,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,CY,Cyprus,135,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,CZ,Czechia,91,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,DE,Germany,757,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,DK,Denmark,89,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,EE,Estonia,10,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,EL,Greece,1558,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,ES,Spain,76,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,FI,Finland,33,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,FR,France,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,HR,Croatia,262,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,HU,Hungary,426,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,IE,Ireland,58,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,IS,Iceland,1,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,IT,Italy,3061,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,LI,Liechtenstein,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,LT,Lithuania,120,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,LU,Luxembourg,7,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,LV,Latvia,77,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,MT,Malta,21,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,NL,Netherlands,212,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,NO,Norway,40,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,PL,Poland,433,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,PT,Portugal,152,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,RO,Romania,285,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,SE,Sweden,153,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,SI,Slovenia,52,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2023,SK,Slovakia,76,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,AT,Austria,2,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,BE,Belgium,3,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,BG,Bulgaria,2,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,CY,Cyprus,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,CZ,Czechia,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,DE,Germany,7,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,DK,Denmark,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,EE,Estonia,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,EL,Greece,2,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,ES,Spain,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,FI,Finland,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,FR,France,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,HR,Croatia,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,HU,Hungary,6,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,IE,Ireland,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,IS,Iceland,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,IT,Italy,15,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,LI,Liechtenstein,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,LT,Lithuania,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,LU,Luxembourg,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,LV,Latvia,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,MT,Malta,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,NL,Netherlands,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,NO,Norway,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,PL,Poland,5,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,PT,Portugal,2,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,RO,Romania,4,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,SE,Sweden,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,SI,Slovenia,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2023,SK,Slovakia,2,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,AT,Austria,7,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,BE,Belgium,8,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,BG,Bulgaria,158,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,CY,Cyprus,116,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,CZ,Czechia,34,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,DE,Germany,26,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,DK,Denmark,2,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,EE,Estonia,3,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,EL,Greece,1500,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,ES,Spain,28,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,FI,Finland,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,FR,France,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,HR,Croatia,254,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,HU,Hungary,198,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,IE,Ireland,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,IS,Iceland,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,IT,Italy,2351,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,LI,Liechtenstein,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,LT,Lithuania,113,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,LU,Luxembourg,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,LV,Latvia,54,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,MT,Malta,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,NL,Netherlands,3,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,NO,Norway,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,PL,Poland,359,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,PT,Portugal,67,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,RO,Romania,292,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,SE,Sweden,3,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,SI,Slovenia,12,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2023,SK,Slovakia,36,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,AT,Austria,7.21649484,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,BE,Belgium,4.12371134,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,BG,Bulgaria,86.33879781,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,CY,Cyprus,86.56716417,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,CZ,Czechia,37.36263736,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,DE,Germany,3.1553398,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,DK,Denmark,2.22222222,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,EE,Estonia,-,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,EL,Greece,95.29860228,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,ES,Spain,39.43661971,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,FI,Finland,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,FR,France,-,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,HR,Croatia,95.8490566,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,HU,Hungary,46.15384615,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,IE,Ireland,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,IS,Iceland,-,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,IT,Italy,75.88766946,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,LI,Liechtenstein,-,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2023,LT,Lithuania,92.62295081,
