"","age_group","year","country","sex","pathogen","Country.Name","n_inage_gdr","lowage","total","incidence"
"156","(-1,4]",2015,"IE","f","Klebsiella pneumoniae","Ireland",175056.252308158,0,1,0.571244949446114
"157","(-1,4]",2015,"IE","f","Staphylococcus aureus","Ireland",175056.252308158,0,5,2.85622474723057
"158","(-1,4]",2015,"IE","f","Streptococcus pneumoniae","Ireland",175056.252308158,0,9,5.14120454501503
"159","(-1,4]",2015,"IE","m","Acinetobacter spp","Ireland",184028.855698557,0,2,1.08678608711019
"160","(-1,4]",2015,"IE","m","Enterococcus faecalis","Ireland",184028.855698557,0,1,0.543393043555095
"161","(-1,4]",2015,"IE","m","Escherichia coli","Ireland",184028.855698557,0,3,1.63017913066528
"162","(-1,4]",2015,"IE","m","Klebsiella pneumoniae","Ireland",184028.855698557,0,1,0.543393043555095
"163","(-1,4]",2015,"IE","m","Staphylococcus aureus","Ireland",184028.855698557,0,7,3.80375130488566
"164","(-1,4]",2015,"IE","m","Streptococcus pneumoniae","Ireland",184028.855698557,0,7,3.80375130488566
"165","(-1,4]",2015,"IT","f","Acinetobacter spp","Italy",1282927.9561769,0,20,1.55893399186652
"166","(-1,4]",2015,"IT","f","Enterococcus faecalis","Italy",1282927.9561769,0,47,3.66349488088632
"167","(-1,4]",2015,"IT","f","Enterococcus faecium","Italy",1282927.9561769,0,21,1.63688069145984
"168","(-1,4]",2015,"IT","f","Escherichia coli","Italy",1282927.9561769,0,48,3.74144158047964
"169","(-1,4]",2015,"IT","f","Klebsiella pneumoniae","Italy",1282927.9561769,0,28,2.18250758861312
"170","(-1,4]",2015,"IT","f","Pseudomonas aeruginosa","Italy",1282927.9561769,0,35,2.72813448576641
"171","(-1,4]",2015,"IT","f","Staphylococcus aureus","Italy",1282927.9561769,0,102,7.95056335851924
"172","(-1,4]",2015,"IT","f","Streptococcus pneumoniae","Italy",1282927.9561769,0,14,1.09125379430656
"173","(-1,4]",2015,"IT","m","Acinetobacter spp","Italy",1362350.85003023,0,28,2.05527085767802
"174","(-1,4]",2015,"IT","m","Enterococcus faecalis","Italy",1362350.85003023,0,54,3.96373665409332
"175","(-1,4]",2015,"IT","m","Enterococcus faecium","Italy",1362350.85003023,0,27,1.98186832704666
"176","(-1,4]",2015,"IT","m","Escherichia coli","Italy",1362350.85003023,0,35,2.56908857209752
"177","(-1,4]",2015,"IT","m","Klebsiella pneumoniae","Italy",1362350.85003023,0,55,4.03713918472468
"178","(-1,4]",2015,"IT","m","Pseudomonas aeruginosa","Italy",1362350.85003023,0,35,2.56908857209752
"179","(-1,4]",2015,"IT","m","Staphylococcus aureus","Italy",1362350.85003023,0,62,4.55095689914418
"180","(-1,4]",2015,"IT","m","Streptococcus pneumoniae","Italy",1362350.85003023,0,7,0.513817714419504
"181","(-1,4]",2015,"LU","f","Escherichia coli","Luxembourg",15329.0434004507,0,4,26.0942571268498
"182","(-1,4]",2015,"LU","m","Escherichia coli","Luxembourg",16241.6405504877,0,1,6.15701349190353
"183","(-1,4]",2015,"LV","f","Enterococcus faecalis","Latvia",48471.1628884722,0,1,2.06308233681315
"184","(-1,4]",2015,"LV","f","Escherichia coli","Latvia",48471.1628884722,0,1,2.06308233681315
"185","(-1,4]",2015,"LV","m","Escherichia coli","Latvia",51412.1747773314,0,1,1.94506457727386
"186","(-1,4]",2015,"LV","m","Klebsiella pneumoniae","Latvia",51412.1747773314,0,1,1.94506457727386
"187","(-1,4]",2015,"LV","m","Pseudomonas aeruginosa","Latvia",51412.1747773314,0,1,1.94506457727386
"188","(-1,4]",2015,"LV","m","Staphylococcus aureus","Latvia",51412.1747773314,0,1,1.94506457727386
"189","(-1,4]",2015,"LV","m","Streptococcus pneumoniae","Latvia",51412.1747773314,0,1,1.94506457727386
"190","(-1,4]",2015,"MT","f","Acinetobacter spp","Malta",10530.9780328419,0,1,9.49579418816942
"191","(-1,4]",2015,"MT","f","Streptococcus pneumoniae","Malta",10530.9780328419,0,1,9.49579418816942
"192","(-1,4]",2015,"MT","m","Streptococcus pneumoniae","Malta",11358.3381886235,0,1,8.80410482055906
"193","(-1,4]",2015,"NL","f","Acinetobacter spp","Netherlands",433402.630611914,0,4,0.922929331174678
"194","(-1,4]",2015,"NL","f","Enterococcus faecalis","Netherlands",433402.630611914,0,4,0.922929331174678
"195","(-1,4]",2015,"NL","f","Enterococcus faecium","Netherlands",433402.630611914,0,2,0.461464665587339
"196","(-1,4]",2015,"NL","f","Escherichia coli","Netherlands",433402.630611914,0,8,1.84585866234936
"197","(-1,4]",2015,"NL","f","Pseudomonas aeruginosa","Netherlands",433402.630611914,0,2,0.461464665587339
"198","(-1,4]",2015,"NL","f","Staphylococcus aureus","Netherlands",433402.630611914,0,14,3.23025265911137
"199","(-1,4]",2015,"NL","f","Streptococcus pneumoniae","Netherlands",433402.630611914,0,9,2.07659099514303
"200","(-1,4]",2015,"NL","m","Acinetobacter spp","Netherlands",457359.615253758,0,2,0.437292654029004
"201","(-1,4]",2015,"NL","m","Enterococcus faecalis","Netherlands",457359.615253758,0,6,1.31187796208701
"202","(-1,4]",2015,"NL","m","Enterococcus faecium","Netherlands",457359.615253758,0,10,2.18646327014502
"203","(-1,4]",2015,"NL","m","Escherichia coli","Netherlands",457359.615253758,0,8,1.74917061611602
"204","(-1,4]",2015,"NL","m","Klebsiella pneumoniae","Netherlands",457359.615253758,0,4,0.874585308058009
"205","(-1,4]",2015,"NL","m","Staphylococcus aureus","Netherlands",457359.615253758,0,16,3.49834123223203
"206","(-1,4]",2015,"NL","m","Streptococcus pneumoniae","Netherlands",457359.615253758,0,19,4.15428021327554
"207","(-1,4]",2015,"NO","f","Enterococcus faecium","Norway",150161.301763559,0,1,0.665950540023007
"208","(-1,4]",2015,"NO","f","Escherichia coli","Norway",150161.301763559,0,9,5.99355486020706
"209","(-1,4]",2015,"NO","f","Klebsiella pneumoniae","Norway",150161.301763559,0,1,0.665950540023007
"210","(-1,4]",2015,"NO","f","Pseudomonas aeruginosa","Norway",150161.301763559,0,4,2.66380216009203
"211","(-1,4]",2015,"NO","f","Staphylococcus aureus","Norway",150161.301763559,0,2,1.33190108004601
"212","(-1,4]",2015,"NO","f","Streptococcus pneumoniae","Norway",150161.301763559,0,1,0.665950540023007
"213","(-1,4]",2015,"NO","m","Enterococcus faecalis","Norway",158119.062899738,0,2,1.26486962629433
"214","(-1,4]",2015,"NO","m","Klebsiella pneumoniae","Norway",158119.062899738,0,1,0.632434813147163
"215","(-1,4]",2015,"NO","m","Pseudomonas aeruginosa","Norway",158119.062899738,0,1,0.632434813147163
"216","(-1,4]",2015,"NO","m","Staphylococcus aureus","Norway",158119.062899738,0,9,5.69191331832447
"217","(-1,4]",2015,"NO","m","Streptococcus pneumoniae","Norway",158119.062899738,0,6,3.79460887888298
"218","(-1,4]",2015,"PL","f","Enterococcus faecalis","Poland",918688.24645624,0,14,1.52391195315754
"219","(-1,4]",2015,"PL","f","Enterococcus faecium","Poland",918688.24645624,0,14,1.52391195315754
"220","(-1,4]",2015,"PL","f","Escherichia coli","Poland",918688.24645624,0,63,6.85760378920891
"221","(-1,4]",2015,"PL","f","Klebsiella pneumoniae","Poland",918688.24645624,0,35,3.80977988289384
"222","(-1,4]",2015,"PL","f","Pseudomonas aeruginosa","Poland",918688.24645624,0,14,1.52391195315754
"223","(-1,4]",2015,"PL","f","Staphylococcus aureus","Poland",918688.24645624,0,42,4.57173585947261
"224","(-1,4]",2015,"PL","f","Streptococcus pneumoniae","Poland",918688.24645624,0,7,0.761955976578768
"225","(-1,4]",2015,"PL","m","Enterococcus faecalis","Poland",969280.79904514,0,7,0.722184944434663
"226","(-1,4]",2015,"PL","m","Enterococcus faecium","Poland",969280.79904514,0,14,1.44436988886933
"227","(-1,4]",2015,"PL","m","Escherichia coli","Poland",969280.79904514,0,7,0.722184944434663
"228","(-1,4]",2015,"PL","m","Klebsiella pneumoniae","Poland",969280.79904514,0,7,0.722184944434663
"229","(-1,4]",2015,"PL","m","Pseudomonas aeruginosa","Poland",969280.79904514,0,14,1.44436988886933
"230","(-1,4]",2015,"PL","m","Staphylococcus aureus","Poland",969280.79904514,0,63,6.49966449991197
"231","(-1,4]",2015,"PL","m","Streptococcus pneumoniae","Poland",969280.79904514,0,64,6.60283377768835
"232","(-1,4]",2015,"PT","f","Acinetobacter spp","Portugal",213931.871644642,0,2,0.934877063723425
"233","(-1,4]",2015,"PT","f","Enterococcus faecalis","Portugal",213931.871644642,0,1,0.467438531861712
"234","(-1,4]",2015,"PT","f","Enterococcus faecium","Portugal",213931.871644642,0,1,0.467438531861712
"235","(-1,4]",2015,"PT","f","Escherichia coli","Portugal",213931.871644642,0,9,4.20694678675541
"236","(-1,4]",2015,"PT","f","Klebsiella pneumoniae","Portugal",213931.871644642,0,8,3.7395082548937
"237","(-1,4]",2015,"PT","f","Pseudomonas aeruginosa","Portugal",213931.871644642,0,5,2.33719265930856
"238","(-1,4]",2015,"PT","f","Staphylococcus aureus","Portugal",213931.871644642,0,15,7.01157797792569
"239","(-1,4]",2015,"PT","f","Streptococcus pneumoniae","Portugal",213931.871644642,0,9,4.20694678675541
"240","(-1,4]",2015,"PT","m","Acinetobacter spp","Portugal",226663.282384329,0,5,2.20591528870654
"241","(-1,4]",2015,"PT","m","Enterococcus faecalis","Portugal",226663.282384329,0,4,1.76473223096523
"242","(-1,4]",2015,"PT","m","Enterococcus faecium","Portugal",226663.282384329,0,1,0.441183057741309
"243","(-1,4]",2015,"PT","m","Escherichia coli","Portugal",226663.282384329,0,8,3.52946446193047
"244","(-1,4]",2015,"PT","m","Klebsiella pneumoniae","Portugal",226663.282384329,0,4,1.76473223096523
"245","(-1,4]",2015,"PT","m","Pseudomonas aeruginosa","Portugal",226663.282384329,0,2,0.882366115482617
"246","(-1,4]",2015,"PT","m","Staphylococcus aureus","Portugal",226663.282384329,0,15,6.61774586611963
"247","(-1,4]",2015,"PT","m","Streptococcus pneumoniae","Portugal",226663.282384329,0,20,8.82366115482617
"248","(-1,4]",2015,"RO","m","Acinetobacter spp","Romania",502291.705837527,0,21,4.1808375005883
"249","(-1,4]",2015,"RO","m","Enterococcus faecalis","Romania",502291.705837527,0,7,1.3936125001961
"250","(-1,4]",2015,"RO","m","Enterococcus faecium","Romania",502291.705837527,0,7,1.3936125001961
"251","(-1,4]",2015,"RO","m","Staphylococcus aureus","Romania",502291.705837527,0,14,2.7872250003922
"252","(-1,4]",2015,"RO","m","Streptococcus pneumoniae","Romania",502291.705837527,0,14,2.7872250003922
"253","(-1,4]",2015,"SE","f","Enterococcus faecalis","Sweden",286894.35900573,0,2,0.69712071263139
"254","(-1,4]",2015,"SE","f","Escherichia coli","Sweden",286894.35900573,0,8,2.78848285052556
"255","(-1,4]",2015,"SE","f","Klebsiella pneumoniae","Sweden",286894.35900573,0,2,0.69712071263139
"256","(-1,4]",2015,"SE","f","Pseudomonas aeruginosa","Sweden",286894.35900573,0,9,3.13704320684125
